Methods for Geotagging or Geolabelling Text Content,"<p>What are some good algorithms for automatically labeling text with the city / region  or origin?  That is, if a blog is about New York, how can I tell programatically.  Are there packages / papers that claim to do this with any degree of certainty?  </p>

<p>I have looked at some tfidf based approaches, proper noun intersections, but so far, no spectacular successes, and I'd appreciate ideas!  </p>

<p>The more general question is about assigning texts to topics, given some list of topics.</p>

<p>Simple / naive approaches preferred to full on Bayesian approaches, but I'm open.</p>
","algorithm, statistics, nlp, named-entity-recognition","<p>You're looking for a <a href=""https://secure.wikimedia.org/wikipedia/en/wiki/Named_entity_recognition"" rel=""nofollow noreferrer"">named entity recognition</a> system, or short NER. There are <a href=""http://nltk.sourceforge.net/index.php/Main_Page"" rel=""nofollow noreferrer"">several</a> <a href=""http://opennlp.sourceforge.net/index.html"" rel=""nofollow noreferrer"">good</a> <a href=""http://alias-i.com/lingpipe"" rel=""nofollow noreferrer"">toolkits</a> available to help you out. LingPipe in particular has a very <a href=""http://alias-i.com/lingpipe/demos/tutorial/ne/read-me.html"" rel=""nofollow noreferrer"">decent tutorial</a>. <a href=""http://cageclass.sourceforge.net/"" rel=""nofollow noreferrer"">CAGEclass</a> seems to be oriented around NER on geographical place names, but I haven't used it yet.</p>
<p>If you're going with Java, I'd recommend using the LingPipe NER classes. OpenNLP also has some, but the former has a better documentation.</p>
<p>If you're looking for some theoretical background, <a href=""http://www.linguateca.pt/documentos/gkb_technical_report.pdf"" rel=""nofollow noreferrer"">Chavez et al. (2005)</a> have constructed an interesting system and documented it.</p>
",13,9,6591,2008-10-02 18:44:32,https://stackoverflow.com/questions/163923/methods-for-geotagging-or-geolabelling-text-content
Named Entity Recognition Libraries for Java,"<p>I am looking for a simple but ""good enough"" Named Entity Recognition library (and dictionary) for java, I am looking to process emails and documents and extract some ""basic information"" like:
Names, places, Address and Dates</p>

<p>I've been looking around, and most seems to be on the heavy side and full NLP kind of projects. </p>

<p>Any recommendations ?</p>
","java, nlp, named-entity-recognition","<p>BTW, I recently ran across <a href=""http://www.opencalais.com/"" rel=""nofollow noreferrer"">OpenCalais</a> which seems to havethe functionality I was looking after.</p>
",1,27,23784,2008-10-09 16:54:54,https://stackoverflow.com/questions/188176/named-entity-recognition-libraries-for-java
Algorithms recognizing physical address on a webpage,"<p>What are the best algorithms for recognizing structured data on an HTML page?</p>

<p>For example Google will recognize the address of home/company in an email, and offers a map to this address.</p>
","algorithm, screen-scraping, nlp, pattern-matching, named-entity-recognition","<p>A named-entity extraction framework such as <a href=""http://gate.ac.uk/"" rel=""noreferrer"">GATE</a> has at least tackled the <a href=""http://gate.ac.uk/ie/index.html"" rel=""noreferrer"">information extraction problem</a> for locations, assisted by a gazetteer of known places to help resolve common issues.  Unless the pages were machine generated from a common source, you're going to find regular expressions a bit weak for the job.</p>
",12,7,4568,2008-12-08 09:06:36,https://stackoverflow.com/questions/348958/algorithms-recognizing-physical-address-on-a-webpage
Strategies for recognizing proper nouns in NLP,"<p>I'm interested in learning more about <a href=""http://en.wikipedia.org/wiki/Natural_language_processing"" rel=""noreferrer"">Natural Language Processing</a> (NLP) and am curious if there are currently any strategies for recognizing proper nouns in a text that aren't based on dictionary recognition? Also, could anyone explain or link to resources that explain the current dictionary-based methods? Who are the authoritative experts on NLP or what are the definitive resources on the subject?</p>
","nlp, named-entity-recognition, part-of-speech","<p>The task of determining the proper part of speech for a word in a text is called <a href=""http://en.wikipedia.org/wiki/POS_tagging"" rel=""noreferrer"">Part of Speech Tagging</a>. The <a href=""http://en.wikipedia.org/wiki/Brill_tagger"" rel=""noreferrer"">Brill tagger</a>, for example, uses a mixture of dictionary(vocabulary) words and contextual rules. I believe that some of the important initial dictionary words for this task are the stop words. 
Once you have (mostly correct) parts of speech for your words, you can start building larger structures. <a href=""http://books.google.com/books?id=jkkoj7U5g4kC&amp;dq=Natural+Language+Processing+for+Online+Applications:+Text+Retrieval,+Extraction+and+Categorization&amp;printsec=frontcover&amp;source=bn&amp;hl=en&amp;ei=GVGuSdebCJDRjAf16p2kBg&amp;sa=X&amp;oi=book_result&amp;resnum=7&amp;ct=result#PPP1,M1"" rel=""noreferrer"">This industry-oriented book</a> differentiates between recognizing noun phrases (NPs) and recognizing named entities. 
About textbooks: <a href=""https://rads.stackoverflow.com/amzn/click/com/0805303340"" rel=""noreferrer"" rel=""nofollow noreferrer"">Allen's Natural Language Understanding</a> is a good, but a bit dated, book. <a href=""https://rads.stackoverflow.com/amzn/click/com/0262133601"" rel=""noreferrer"" rel=""nofollow noreferrer"">Foundations of Statistical Natural Language Processing</a> is a nice introduction to statistical NLP. <a href=""https://rads.stackoverflow.com/amzn/click/com/0131873210"" rel=""noreferrer"" rel=""nofollow noreferrer"">Speech and Language Processing</a> is a bit more rigorous and maybe more authoritative. <a href=""http://www.aclweb.org/"" rel=""noreferrer"">The Association for Computational Linguistics</a> is a leading scientific community on computational linguistics.</p>
",12,14,9096,2009-03-03 23:56:45,https://stackoverflow.com/questions/608743/strategies-for-recognizing-proper-nouns-in-nlp
Algorithms for named entity recognition,"<p>I would like to use named entity recognition (NER) to find adequate tags for texts in a database.</p>

<p>I know there is a Wikipedia article about this and lots of other pages describing NER, I would preferably hear something about this topic from you:</p>

<ul>
<li>What experiences did you make with the various algorithms?</li>
<li>Which algorithm would you recommend?</li>
<li>Which algorithm is the easiest to implement (PHP/Python)?</li>
<li>How to the algorithms work? Is manual training necessary?</li>
</ul>

<p>Example:</p>

<p>""Last year, I was in London where I saw Barack Obama."" => Tags: London, Barack Obama</p>

<p>I hope you can help me. Thank you very much in advance!</p>
","php, python, extract, analysis, named-entity-recognition","<p>To start with check out <a href=""http://www.nltk.org/"" rel=""noreferrer"">http://www.nltk.org/</a> if you plan working with python although as far as I know the code isn't ""industrial strength"" but it will get you started.</p>

<p>Check out section 7.5 from <a href=""http://nltk.googlecode.com/svn/trunk/doc/book/ch07.html"" rel=""noreferrer"">http://nltk.googlecode.com/svn/trunk/doc/book/ch07.html</a> but to understand the algorithms you probably will have to read through a lot of the book.</p>

<p>Also check this out <a href=""http://nlp.stanford.edu/software/CRF-NER.shtml"" rel=""noreferrer"">http://nlp.stanford.edu/software/CRF-NER.shtml</a>. It's done with java, </p>

<p>NER isn't an easy subject and probably nobody will tell you ""this is the best algorithm"", most of them have their pro/cons.</p>

<p>My 0.05 of a dollar.</p>

<p>Cheers,</p>
",12,22,10003,2009-06-22 12:26:33,https://stackoverflow.com/questions/1026925/algorithms-for-named-entity-recognition
Entity extraction web services,"<p>Are there any paid or free named entity recognition web services available.</p>
<p>Basically I'm looking for something - where if I pass a text like:</p>
<blockquote>
<p>&quot;John had french fries at Burger King&quot;</p>
</blockquote>
<p>It should be identify - something along the lines:</p>
<blockquote>
<p>Person: John</p>
<p>Organization: Burger King</p>
</blockquote>
<p>I've heard of <a href=""https://en.wikipedia.org/wiki/General_Architecture_for_Text_Engineering"" rel=""nofollow noreferrer"">Annie from GATE</a> - but I don't think it has a web service available.</p>
","named-entity-recognition, named-entity-extraction","<p><a href=""http://viewer.opencalais.com/"" rel=""nofollow noreferrer"">OpenCalais</a> by Reuters - pretty awesome at detecting companies, political entities etc. but not, say, food items.</p>

<p><img src=""https://i.sstatic.net/RtxUc.png"" alt=""enter image description here""></p>

<p>Free for 50,000 requests per day even for commercial, <a href=""http://www.opencalais.com/APIKey"" rel=""nofollow noreferrer"">as long as you display their logo</a>.</p>

<p>Totally tripped by certain types of input though. As of now, this results in nothing being detected, despite <a href=""https://www.google.com/finance?q=OTCMKTS%3AWACMY"" rel=""nofollow noreferrer"">Wacom being a relatively well-known company</a>.</p>

<blockquote>
  <p>Wacom introduces WILL - the Wacom Ink Layer Language as a Leading Standard in Digital Inking</p>
</blockquote>
",6,8,2402,2010-05-21 01:55:18,https://stackoverflow.com/questions/2879134/entity-extraction-web-services
Disambiguating Named Entities in Java,"<p>I have a list of strings (company names, in this case), and a Java program that extracts a list of things that look like company names out of mostly-unstructured text.  I need to match each element of extracted text to a string in the list. Caveat: the unstructured text has typos, things like ""Blah, Inc."" referred to as ""Blah,"" etc.  I've tried Levenshtein Edit Distance, but that fails for predictable reasons.  Are there known best-practices ways of tackling this problem? Or am I back to manual data-entry?</p>
","java, named-entity-recognition","<p>This is not a simple problem, and there are entire companies built around trying to solve it (even for reduced matching sets like company names versus the general case). </p>

<p>If you can identify a discrete number of patterns that valid company names fall into, and that noise does not fall into, then you could tackle this with a series of regular expression matches.</p>

<p>If the patterns are difficult or too numerous, then you could try developing a probabilistic model, perhaps something like a Bayesian network. You would take a subset of your data for training, and perhaps a second subset for a quick validation, and grow the network. Techniques might include genetic programming or setting up a neural network. This approach is obviously not lightweight, and you'd probably want to consider your need carefully before going down this road.</p>
",3,3,738,2010-06-09 15:18:07,https://stackoverflow.com/questions/3007186/disambiguating-named-entities-in-java
Is NER necessary for Coreference resolution?,"<p>... or is gender information enough?
More specifically, I'm interested in knowing if I can reduce the number of models loaded by the Stanford Core NLP to extract coreferences. I am not interested in actual named entity recognition.</p>

<p>Thank you</p>
","nlp, stanford-nlp, named-entity-recognition","<p>According to the EMNLP paper that describes the coref system packaged with Stanford CoreNLP, named entities tags are just used in the following coref annotation passes: <em>precise constructs</em>, <em>relaxed head matching</em>, and <em>pronouns</em> <a href=""http://cs.stanford.edu/people/nc/pubs/emnlp2010-sieve-coref.pdf"">(Raghunathan et al. 2010)</a>. </p>

<p>You can specify what passes to use with the <strong>dcoref.sievePasses</strong> configuration property. If you want coreference but you don't want to do NER, you should be able to just run the pipeline without NER and specify that the coref system should only use the annotation passes that don't require NER labels. </p>

<p>However, the resulting coref annotations will take a hit on <a href=""http://en.wikipedia.org/wiki/Recall_%28information_retrieval%29"">recall</a>. So, you might want to do some experiments to determine whether the degraded quality of the annotations is problem for whatever your are using them for downstream.</p>
",5,4,1511,2010-12-15 19:33:08,https://stackoverflow.com/questions/4454029/is-ner-necessary-for-coreference-resolution
Understanding Relevance Score of OpenCalais,"<p>I am trying to understand what is the relevance score that opencalais returns associated with each entity? What does it signify and how is it to be interpreted? I would be thankful for insights into this.</p>
","nlp, information-extraction, named-entity-recognition, opencalais","<p>Their <a href=""http://www.opencalais.com/documentation/calais-web-service-api/api-metadata/entity-relevance-score"" rel=""noreferrer"">documentation</a> states: The relevance capability detects the importance of each unique entity and assigns a relevance score in the range 0-1 (1 being the most relevant and important).</p>

<p>While they do not explain what 'relevance' means exactly, one would expect it to quantify the centrality of the entity to the discourse of the document.  It's likely influenced by factors such as the entities mention frequency in this document as compared to its expected frequency in a random document (cf. TF-IDF), but could also involve more sophisticated discourse analysis.</p>
",5,5,720,2011-01-08 12:15:07,https://stackoverflow.com/questions/4633794/understanding-relevance-score-of-opencalais
"How do I loop over several files, keeping the base name for further processing?","<p>I have multiple text files that need to be tokenised, POS and NER. I am using <a href=""http://svn.ask.it.usyd.edu.au/trac/candc"" rel=""nofollow"">C&amp;C</a> taggers and have run their tutorial, but I am wondering if there is a way to tag multiple files rather than one by one.</p>

<p>At the moment I am tokenising the files:</p>

<pre><code>bin/tokkie --input working/tutorial/example.txt--quotes delete --output working/tutorial/example.tok
</code></pre>

<p>as follows and then Part of Speech tagging:</p>

<pre><code>bin/pos --input working/tutorial/example.tok --model models/pos --output working/tutorial/example.pos
</code></pre>

<p>and lastly Named Entity Recognition:</p>

<pre><code>bin/ner --input working/tutorial/example.pos --model models/ner --output working/tutorial/example.ner
</code></pre>

<p>I am not sure how I would go about creating a loop to do this and keep the file name the same as the input but with the extension representing the tagging it has. I was thinking of a bash script or perhaps Perl to open the directory but I am not sure on how to enter the C&amp;C commands in order for the script to understand.</p>

<p>At the moment I am doing it manually and it's pretty time consuming to say the least!</p>
","perl, bash, tokenize, named-entity-recognition, part-of-speech","<p>Untested, likely needs some directory mangling.</p>

<pre><code>use autodie qw(:all);
use File::Basename qw(basename);

for my $text_file (glob 'working/tutorial/*.txt') {
    my $base_name = basename($text_file, '.txt');
    system 'bin/tokkie',
        '--input'  =&gt; ""working/tutorial/$base_name.txt"",
        '--quotes' =&gt; 'delete',
        '--output' =&gt; ""working/tutorial/$base_name.tok"";
    system 'bin/pos',
        '--input'  =&gt; ""working/tutorial/$base_name.tok"",
        '--model'  =&gt; 'models/pos',
        '--output' =&gt; ""working/tutorial/$base_name.pos"";
    system 'bin/ner',
        '--input'  =&gt; ""working/tutorial/$base_name.pos"",
        '--model'  =&gt; 'models/ner',
        '--output' =&gt; ""working/tutorial/$base_name.ner"";
}
</code></pre>
",3,3,288,2011-03-01 12:52:20,https://stackoverflow.com/questions/5154748/how-do-i-loop-over-several-files-keeping-the-base-name-for-further-processing
