Limit CPU / Stack for Java method call?,"<p>I am using an NLP library (Stanford NER) that throws <code>java.lang.OutOfMemoryError</code> errors for rare input documents.</p>
<p>I plan to eventually isolate these documents and figure out what about them causes the errors, but this is hard to do (I'm running in Hadoop, so I just know the error occurs 17% through split 379/500 or something like that). As an interim solution, I'd like to be able to apply a CPU and memory limit to this particular call. I'm not sure what the best way to do this would be. My first thought is to create a fixed thread pool of one thread and use the timed get() on Future. This would at least give me a wall clock limit which would likely help somewhat.</p>
<p>My question is whether there is any way to do better than this with a reasonable amount of effort.</p>
","java, nlp, stanford-nlp","<p>Just catch the OutOfMemoryError, log which document you were on, then move on to the next one. The garbage collector will make sure you have enough memory for the next document.</p>

<p>(This is one of the strategies I use with the Stanford dependency parser to move on to the next sentence if one sentence is too long or convoluted to parse.)</p>
",1,1,936,2009-07-04 04:09:10,https://stackoverflow.com/questions/1081466/limit-cpu-stack-for-java-method-call
Java Stanford NLP: Part of Speech labels?,"<p>The Stanford NLP, demo'd <a href=""http://nlp.stanford.edu:8080/parser/"" rel=""noreferrer"">here</a>, gives an output like this:</p>

<pre><code>Colorless/JJ green/JJ ideas/NNS sleep/VBP furiously/RB ./.
</code></pre>

<p>What do the Part of Speech tags mean? I am unable to find an official list. Is it Stanford's own system, or are they using universal tags? (What is <code>JJ</code>, for instance?)</p>

<p>Also, when I am iterating through the sentences, looking for nouns, for instance, I end up doing something like checking to see if the tag <code>.contains('N')</code>. This feels pretty weak. Is there a better way to programmatically search for a certain part of speech?</p>
","java, nlp, stanford-nlp, part-of-speech","<p><a href=""http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.9.8216&amp;rep=rep1&amp;type=pdf"" rel=""noreferrer"">The Penn Treebank Project</a>. Look at the <a href=""http://www.ling.upenn.edu/courses/Fall_2003/ling001/penn_treebank_pos.html"" rel=""noreferrer"">Part-of-speech tagging</a> ps.</p>

<p>JJ is adjective. NNS is noun, plural. VBP is verb present tense. RB is adverb.</p>

<p>That's for english. For chinese, it's the Penn Chinese Treebank. And for german it's the NEGRA corpus.</p>

<blockquote>
  <ol>
  <li>CC Coordinating conjunction </li>
  <li>CD Cardinal number </li>
  <li>DT Determiner </li>
  <li>EX Existential there </li>
  <li>FW Foreign word </li>
  <li>IN Preposition or subordinating conjunction </li>
  <li>JJ Adjective </li>
  <li>JJR Adjective, comparative </li>
  <li>JJS Adjective, superlative </li>
  <li>LS List item marker </li>
  <li>MD Modal </li>
  <li>NN Noun, singular or mass </li>
  <li>NNS Noun, plural </li>
  <li>NNP Proper noun, singular </li>
  <li>NNPS Proper noun, plural </li>
  <li>PDT Predeterminer </li>
  <li>POS Possessive ending </li>
  <li>PRP Personal pronoun </li>
  <li>PRP$ Possessive pronoun </li>
  <li>RB Adverb </li>
  <li>RBR Adverb, comparative </li>
  <li>RBS Adverb, superlative </li>
  <li>RP Particle </li>
  <li>SYM Symbol </li>
  <li>TO to </li>
  <li>UH Interjection </li>
  <li>VB Verb, base form </li>
  <li>VBD Verb, past tense </li>
  <li>VBG Verb, gerund or present participle </li>
  <li>VBN Verb, past participle </li>
  <li>VBP Verb, non­3rd person singular present </li>
  <li>VBZ Verb, 3rd person singular present </li>
  <li>WDT Wh­determiner </li>
  <li>WP Wh­pronoun </li>
  <li>WP$ Possessive wh­pronoun </li>
  <li>WRB Wh­adverb </li>
  </ol>
</blockquote>
",290,186,105417,2009-12-02 14:30:50,https://stackoverflow.com/questions/1833252/java-stanford-nlp-part-of-speech-labels
Java Stanford NLP: Spell checking,"<p>I'm trying to check spelling accuracy of text samples using the Stanford NLP. It's just a metric of the text, not a filter or anything, so if it's off by a bit it's fine, as long as the error is uniform.</p>

<p>My first idea was to check if the word is known by the lexicon:</p>

<pre><code>private static LexicalizedParser lp = new LexicalizedParser(""englishPCFG.ser.gz"");

@Analyze(weight=25, name=""Spelling"")
    public double spelling() {
        int result = 0;

        for (List&lt;? extends HasWord&gt; list : sentences) {
            for (HasWord w : list) {
                if (! lp.getLexicon().isKnown(w.word())) {
                    System.out.format(""misspelled: %s\n"", w.word());
                    result++;
                }
            }
        }

        return result / sentences.size();
    }
</code></pre>

<p>However, this produces quite a lot of false positives:</p>

<pre><code>misspelled: Sincerity
misspelled: Sisyphus
misspelled: Sisyphus
misspelled: fidelity
misspelled: negates
misspelled: gods
misspelled: henceforth
misspelled: atom
misspelled: flake
misspelled: Sisyphus
misspelled: Camus
misspelled: foandf
misspelled: foandf
misspelled: babby
misspelled: formd
misspelled: gurl
misspelled: pregnent
misspelled: babby
misspelled: formd
misspelled: gurl
misspelled: pregnent
misspelled: Camus
misspelled: Sincerity
misspelled: Sisyphus
misspelled: Sisyphus
misspelled: fidelity
misspelled: negates
misspelled: gods
misspelled: henceforth
misspelled: atom
misspelled: flake
misspelled: Sisyphus
</code></pre>

<p>Any ideas on how to do this better?</p>
","java, nlp, stanford-nlp, spell-checking","<p>Using the parser's lexicon's isKnown(String) method as a spellchecker isn't a viable use case of the parser.  The method is correct: ""false"" means that this word was not seen (with the given capitalization) in the approximately 1 million words of text the parser is trained from.  But 1 million words just isn't enough text to train a comprehensive spellchecker from in a data-driven manner. People would typically use at least two orders of magnitude of text more, and might well add some cleverness to handle capitalization.  The parser includes some of this cleverness to handle words that were unseen in the training data, but this isn't reflected in what the isKnown(String) method returns.</p>
",9,5,4569,2009-12-05 20:36:14,https://stackoverflow.com/questions/1853378/java-stanford-nlp-spell-checking
Stanford POS tagger in Java,"<p>I'm trying this:</p>

<pre><code>Sentence&lt;TaggedWord&gt; taggedString = MaxentTagger.tagStringTokenized(""here is a string to tag"");
</code></pre>

<p>which gives me:</p>

<blockquote>
  <p>Error:
  \u\nlp\data\pos-tagger\wsj3t0-18-left3words\left3words-wsj-0-18.tagger (The system cannot find the path
  specified)</p>
</blockquote>

<p>I'm using Stanford's <a href=""http://en.wikipedia.org/wiki/Part-of-speech_tagging"" rel=""nofollow noreferrer"">POS tagger</a>.</p>

<p>What can I do to overcome this problem?</p>
","java, stanford-nlp, pos-tagger","<p>It seems you first have to instantiate a tagger passing the included file:</p>

<pre><code>new MaxentTagger(""models/left3words-wsj-0-18.tagger"");
</code></pre>

<p>Which is pretty nasty as the tagging method used later is static:</p>

<pre><code>MaxentTagger.tagStringTokenized(""here is a string to tag"");
</code></pre>

<p>I also had to pass <code>-Xmx256m</code> to make it run with that setup.</p>
",4,1,4955,2009-12-23 18:59:17,https://stackoverflow.com/questions/1954682/stanford-pos-tagger-in-java
"Using the Stanford postagger in java, getting java.lang.IncompatibleClassChangeError","<p>I am trying to initialize the Stanford NLP Part of Speech tagger and I keep getting a java.lang.IncompatibleClassChangeError.  When I print the cause of the error, I get null, when I print the message I get Implementing Class.</p>

<p>This is my code:</p>

<pre><code>    try {
        MaxentTagger tagger = new MaxentTagger(path+""left3words-wsj-0-18.tagger"");
        Reader reader = new BufferedReader(new InputStreamReader(System.in));
        List&lt;Sentence&lt;? extends HasWord&gt;&gt; sentences = MaxentTagger.tokenizeText(reader);
        for (Sentence&lt;? extends HasWord&gt; sentence : sentences) {
            Sentence&lt;TaggedWord&gt; tSentence = MaxentTagger.tagSentence(sentence);
            System.out.println(tSentence.toString(false));
        }

    } catch (IOException e) {
        System.err.println(""READ ERROR"");
        e.printStackTrace();
    } catch (Exception e) {
        System.err.println(""TAGGER ERROR"");
        e.getMessage();
    } catch(java.lang.IncompatibleClassChangeError e){
        e.getStackTrace();
    }

}
</code></pre>

<p>Does anyone know how to fix this?</p>
","java, stanford-nlp, pos-tagger","<p>An <code>IncompatibleClassChangeError</code> happens when some class <code>X</code> has been compiled against one version of some other class <code>Y</code>, and then an attempt is made to load it with a different (incompatible) version of the class <code>Y</code>.  If you are getting this error rather than a subtype, it probably means that <code>Y</code> has changed from an <code>interface</code> to a <code>class</code> or vice-versa, or that there has been a change in its inherited interfaces and implemented classes.</p>

<p>The reason that you are not seeing any <code>getMessage()</code> output is that <code>IncompatibleClassChangeError</code> is a subtype of <code>lava.lang.Error</code> not <code>java.lang.Exception</code>.  Therefore the <code>catch</code> for <code>Exception</code> is not catching it.  Simply copying the <code>println(e.getMessage())</code> line to the next catch block should fix this.</p>

<p>When you print the exception message, it should tell you more about what is causing the problem.  But the root cause is that you need to recompile and/or make sure that you are using the same library JAR files at compile time and runtime.</p>
",1,1,770,2010-01-11 06:06:47,https://stackoverflow.com/questions/2040206/using-the-stanford-postagger-in-java-getting-java-lang-incompatibleclasschangee
Natural Language Processing Package,"<p>I have started working on a project which requires Natural Language Processing. We have do the spell checking as well as mapping sentences to phrases and their synonyms. I first thought of using GATE but i am confused on what to use? I found an interesting post here which got me even more confused. </p>

<p><a href=""http://lordpimpington.com/codespeaks/drupal-5.1/?q=node/5"" rel=""noreferrer"">http://lordpimpington.com/codespeaks/drupal-5.1/?q=node/5</a></p>

<p>Please help me decide on what suits my purpose the best. I am working a web application which will us this NLP tool as a service.</p>
","nlp, stanford-nlp","<p>You didn't really give much info, but try this: <a href=""http://www.nltk.org/"" rel=""noreferrer"">http://www.nltk.org/</a></p>

<p>I don't think NLTK does spell checking (I could be wrong on this), but it can do parts of speech tagging for text input.</p>

<p>For finding/matching synonyms you could use something like WordNet <a href=""http://wordnet.princeton.edu/"" rel=""noreferrer"">http://wordnet.princeton.edu/</a></p>

<p>If you're doing something really domain specific: I would recommend coming up with your own ontology for domain specific terms.</p>
",7,5,1044,2010-03-05 12:29:41,https://stackoverflow.com/questions/2386652/natural-language-processing-package
How to get parent node in Stanford&#39;s JavaNLP?,"<p>Suppose I have such chunk of a sentence:</p>

<pre><code>(NP
      (NP (DT A) (JJ single) (NN page))
      (PP (IN in)
        (NP (DT a) (NN wiki) (NN website))))
</code></pre>

<p>At a certain moment of time I have a reference to <code>(JJ single)</code> and I want to get the <code>NP</code> node binding <code>A single page</code>. If I get it right, that <code>NP</code> is the parent of the node, <code>A</code> and <code>page</code> are its siblings and it has no children (?). When I try to use the <code>.parent()</code> method of a tree, I <em>always</em> get null. The API says that's because the implementation doesn't know how to determine the parent node. Another method of interest is <code>.ancestor(int height, Tree root)</code>, but I don't know how to get the root of the node. In both cases, since the parser knows how to indent and group trees, it must know the ""parent"" tree, right? How can I get it? Thanks</p>
","java, data-structures, tree, nlp, stanford-nlp","<p>It looks like the <code>Tree</code> itself will never return the parent of the node, since it's hardcoded in the <code>Tree</code> sources. Meanwhile <code>TreeGraphNode</code> overrides that method and works well. Changing a Tree to a TreeGraphNode is as easy as </p>

<pre><code>TreeGraphNode sentence = new TreeGraph(tree).root();
</code></pre>
",0,1,1502,2010-04-24 06:06:13,https://stackoverflow.com/questions/2703421/how-to-get-parent-node-in-stanfords-javanlp
Stanford Parser - Traversing the typed dependencies graph,"<p>Basically I want to find a path between two NP tokens in the dependencies graph. However, I can't seem to find a good way to do this in the Stanford Parser. Any help?</p>

<p>Thank You Very Much</p>
","java, graph, nlp, stanford-nlp","<p>The Stanford Parser just returns a list of dependencies between word tokens.  (We do this to avoid external library dependencies.)  But if you want to manipulate the dependencies, you'll almost certainly want to put them in a graph data structure.  We usually use jgrapht: <a href=""http://jgrapht.sourceforge.net/"" rel=""noreferrer"">http://jgrapht.sourceforge.net/</a></p>
",9,3,5082,2010-04-26 10:18:03,https://stackoverflow.com/questions/2712609/stanford-parser-traversing-the-typed-dependencies-graph
R interface for Stanford Parser,"<p>Is there a package that ports Stanford parser in R? </p>
","r, stanford-nlp","<p><a href=""http://cran.r-project.org/web/packages/helloJavaWorld/vignettes/helloJavaWorld.pdf"" rel=""nofollow noreferrer"">http://cran.r-project.org/web/packages/helloJavaWorld/vignettes/helloJavaWorld.pdf</a> will show you how to leverage the rJava package and some minimal Java code to use external Java packages.</p>

<p>The Stanford NLP parsers have API documentation which you could use to create a wrapper in Java.</p>

<p>I am trying to use the NLP parsers from Stanford from R and once I have usable code, I'll b glad to share it with you here.</p>
",2,3,1431,2010-06-04 13:54:27,https://stackoverflow.com/questions/2974728/r-interface-for-stanford-parser
how do I create my own training corpus for stanford tagger?,"<p>I have to analyze informal english text with lots of short hands and local lingo. Hence I was thinking of creating the model for the stanford tagger.</p>

<p>How do i create my own set of labelled corpus for the stanford tagger to train on?</p>

<p>What is the syntax of the corpus and how long should my corpus be in order to achieve a desirable performance?</p>
","java, nlp, stanford-nlp","<p>To train the PoS tagger, see <a href=""https://mailman.stanford.edu/pipermail/parser-user/2009-July/000233.html"" rel=""noreferrer"">this mailing list post</a> which is also included in the <a href=""http://nlp.stanford.edu/nlp/javadoc/javanlp/edu/stanford/nlp/tagger/maxent/MaxentTagger.html"" rel=""noreferrer"">JavaDocs</a> for the MaxentTagger class.</p>

<p>The javadocs for the <a href=""http://reason.cs.uiuc.edu/mtyoung/postagger/javadoc/edu/stanford/nlp/tagger/maxent/Train.html"" rel=""noreferrer"">edu.stanford.nlp.tagger.maxent.Train class</a> specifies the training format:</p>

<blockquote>
  <p>The training file should be in the
  following format: one word and one tag
  per line separated by a space or a
  tab. Each sentence should end in an
  EOS word-tag pair. (Actually, I'm not
  entirely sure that is still the case,
  but it probably won't hurt. -wmorgan)</p>
</blockquote>
",8,15,7646,2010-07-01 08:49:46,https://stackoverflow.com/questions/3156256/how-do-i-create-my-own-training-corpus-for-stanford-tagger
